COUNTY,ZIP_CODE,pop_bin,POPULATION_SIZE,Tdap,MenACWY,COVID,Flu,HPV_initiation,HPV_complete,Teen_series_age_13_only
Baker,97814,2,,0.80,0.45,0.19,0.12,0.47,0.17,0.15
Baker,97833,0,<10 (not shown),,,,,,,
Baker,97834,0,<10 (not shown),,,,,,,
Baker,97840,0,<10 (not shown),,,,,,,
Baker,97870,0,<10 (not shown),,,,,,,
Baker,97877,0,<10 (not shown),,,,,,,
Baker,97907,0,<10 (not shown),,,,,,,
Benton,97324,1,10 to 49 (#),0.88,0.50,0.19,0.25,0.31,0.13,0.13
Benton,97330,2,,0.83,0.64,0.74,0.37,0.56,0.29,0.28
Benton,97333,2,,0.83,0.66,0.69,0.30,0.62,0.30,0.28
Benton,97339,0,<10 (not shown),,,,,,,
Benton,97370,2,,0.90,0.65,0.55,0.27,0.51,0.23,0.22
Benton,97456,1,10 to 49 (#),0.93,0.77,0.30,0.23,0.63,0.27,0.27
Clackamas,97004,1,10 to 49 (#),0.76,0.66,0.34,0.26,0.66,0.45,0.39
Clackamas,97009,2,,0.87,0.74,0.35,0.18,0.61,0.41,0.40
Clackamas,97011,0,<10 (not shown),,,,,,,
Clackamas,97013,2,,0.89,0.75,0.45,0.24,0.62,0.35,0.33
Clackamas,97015,2,,0.88,0.78,0.58,0.29,0.71,0.50,0.48
Clackamas,97017,1,10 to 49 (#),0.89,0.78,0.19,0.17,0.64,0.28,0.28
Clackamas,97022,1,10 to 49 (#),0.81,0.73,0.31,0.31,0.65,0.42,0.38
Clackamas,97023,2,,0.86,0.77,0.26,0.19,0.60,0.36,0.35
Clackamas,97027,2,,0.89,0.72,0.53,0.26,0.62,0.36,0.34
Clackamas,97028,0,<10 (not shown),,,,,,,
Clackamas,97034,2,,0.86,0.79,0.81,0.49,0.73,0.44,0.42
Clackamas,97035,2,,0.83,0.73,0.71,0.41,0.67,0.43,0.41
Clackamas,97036,0,<10 (not shown),,,,,,,
Clackamas,97038,2,,0.84,0.70,0.25,0.16,0.54,0.32,0.30
Clackamas,97042,1,10 to 49 (#),0.78,0.65,0.19,0.16,0.46,0.14,0.14
Clackamas,97045,2,,0.86,0.75,0.51,0.27,0.65,0.38,0.37
Clackamas,97049,1,10 to 49 (#),0.90,0.60,0.60,0.30,0.50,0.30,0.30
Clackamas,97055,2,,0.86,0.74,0.37,0.21,0.60,0.36,0.35
Clackamas,97067,1,10 to 49 (#),0.75,0.70,0.65,0.20,0.70,0.60,0.55
Clackamas,97068,2,,0.86,0.74,0.67,0.37,0.65,0.42,0.38
Clackamas,97070,2,,0.87,0.70,0.61,0.34,0.62,0.38,0.37
Clackamas,97086,2,,0.86,0.78,0.55,0.33,0.69,0.44,0.43
Clackamas,97089,2,,0.88,0.78,0.47,0.25,0.61,0.37,0.35
Clackamas,97222,2,,0.89,0.75,0.66,0.30,0.66,0.41,0.39
Clackamas,97267,2,,0.88,0.76,0.52,0.27,0.66,0.43,0.41
Clackamas,97268,0,<10 (not shown),,,,,,,
Clackamas,97269,0,<10 (not shown),,,,,,,
Clatsop,97103,2,,0.80,0.69,0.42,0.19,0.58,0.31,0.29
Clatsop,97110,1,10 to 49 (#),0.92,0.69,0.38,0.31,0.46,0.23,0.23
Clatsop,97121,1,10 to 49 (#),0.78,0.65,0.43,0.13,0.57,0.26,0.26
Clatsop,97138,2,,0.80,0.62,0.47,0.15,0.53,0.24,0.23
Clatsop,97146,2,,0.72,0.56,0.31,0.19,0.56,0.26,0.23
Columbia,97016,2,,0.79,0.61,0.18,0.10,0.51,0.16,0.12
Columbia,97018,1,10 to 49 (#),0.90,0.70,0.15,0.30,0.40,0.35,0.35
Columbia,97048,2,,0.88,0.75,0.27,0.14,0.55,0.37,0.37
Columbia,97051,2,,0.87,0.74,0.36,0.20,0.55,0.35,0.34
Columbia,97053,1,10 to 49 (#),0.83,0.75,0.33,0.11,0.64,0.33,0.31
Columbia,97054,1,10 to 49 (#),0.83,0.67,0.50,0.10,0.58,0.25,0.25
Columbia,97056,2,,0.86,0.75,0.52,0.25,0.64,0.40,0.39
Columbia,97064,1,10 to 49 (#),0.88,0.70,0.25,0.20,0.48,0.15,0.15
Coos,97407,0,<10 (not shown),,,,,,,
Coos,97411,2,,0.75,0.59,0.23,0.10,0.46,0.29,0.23
Coos,97414,0,<10 (not shown),,,,,,,
Coos,97420,2,,0.83,0.73,0.24,0.21,0.58,0.34,0.32
Coos,97423,2,,0.82,0.55,0.19,0.13,0.45,0.18,0.16
Coos,97449,0,<10 (not shown),,,,,,,
Coos,97458,2,,0.95,0.60,0.13,0.13,0.55,0.24,0.20
Coos,97459,2,,0.82,0.76,0.28,0.20,0.65,0.36,0.32
Coos,97466,0,<10 (not shown),,,,,,,
Crook,97751,0,<10 (not shown),,,,,,,
Crook,97752,0,<10 (not shown),,,,,,,
Crook,97753,1,10 to 49 (#),0.85,0.69,0.19,0.12,0.46,0.27,0.27
Crook,97754,2,,0.90,0.80,0.14,0.12,0.64,0.36,0.36
Curry,97415,2,,0.73,0.31,0.20,0.13,0.29,0.12,0.11
Curry,97444,1,10 to 49 (#),0.89,0.56,0.13,0.10,0.33,0.11,0.10
Curry,97450,0,<10 (not shown),,,,,,,
Curry,97465,1,10 to 49 (#),0.73,0.60,0.27,0.20,0.33,0.20,0.20
Curry,97476,0,<10 (not shown),,,,,,,
Deschutes,97701,2,,0.86,0.76,0.47,0.26,0.67,0.40,0.39
Deschutes,97702,2,,0.87,0.78,0.57,0.33,0.68,0.50,0.48
Deschutes,97703,2,,0.86,0.79,0.66,0.39,0.65,0.45,0.44
Deschutes,97707,2,,0.77,0.68,0.41,0.20,0.55,0.34,0.32
Deschutes,97708,0,<10 (not shown),,,,,,,
Deschutes,97709,0,<10 (not shown),,,,,,,
Deschutes,97739,2,,0.89,0.81,0.23,0.13,0.69,0.39,0.39
Deschutes,97756,2,,0.88,0.77,0.32,0.23,0.63,0.42,0.40
Deschutes,97759,2,,0.85,0.65,0.47,0.20,0.50,0.32,0.27
Douglas,97410,0,<10 (not shown),,,,,,,
Douglas,97416,0,<10 (not shown),,,,,,,
Douglas,97417,1,10 to 49 (#),0.95,0.74,0.32,0.11,0.53,0.16,0.16
Douglas,97429,0,<10 (not shown),,,,,,,
Douglas,97432,0,<10 (not shown),,,,,,,
Douglas,97435,1,10 to 49 (#),0.73,0.40,0.10,0.10,0.40,0.13,0.13
Douglas,97436,0,<10 (not shown),,,,,,,
Douglas,97441,0,<10 (not shown),,,,,,,
Douglas,97442,1,10 to 49 (#),0.70,0.55,0.10,0.15,0.45,0.10,0.10
Douglas,97443,1,10 to 49 (#),0.89,0.78,0.22,0.10,0.83,0.39,0.39
Douglas,97447,0,<10 (not shown),,,,,,,
Douglas,97457,2,,0.83,0.56,0.10,0.10,0.53,0.19,0.18
Douglas,97462,1,10 to 49 (#),0.88,0.63,0.18,0.18,0.48,0.28,0.28
Douglas,97467,1,10 to 49 (#),0.74,0.29,0.24,0.10,0.41,0.21,0.15
Douglas,97469,1,10 to 49 (#),0.87,0.78,0.10,0.10,0.70,0.30,0.30
Douglas,97470,2,,0.86,0.66,0.19,0.10,0.56,0.32,0.32
Douglas,97471,2,,0.83,0.70,0.19,0.13,0.59,0.32,0.30
Douglas,97479,2,,0.81,0.64,0.10,0.10,0.50,0.22,0.20
Douglas,97481,1,10 to 49 (#),0.80,0.50,0.20,0.10,0.40,0.20,0.20
Douglas,97484,0,<10 (not shown),,,,,,,
Douglas,97486,0,<10 (not shown),,,,,,,
Douglas,97494,0,<10 (not shown),,,,,,,
Douglas,97495,1,10 to 49 (#),0.81,0.52,0.19,0.10,0.43,0.19,0.19
Douglas,97496,2,,0.89,0.73,0.10,0.10,0.61,0.38,0.35
Douglas,97499,1,10 to 49 (#),0.76,0.57,0.10,0.10,0.48,0.24,0.24
Gilliam,97812,0,<10 (not shown),,,,,,,
Gilliam,97823,1,10 to 49 (#),0.67,0.58,0.25,0.10,0.83,0.58,0.33
Grant,97820,0,<10 (not shown),,,,,,,
Grant,97825,0,<10 (not shown),,,,,,,
Grant,97845,1,10 to 49 (#),0.89,0.32,0.11,0.10,0.32,0.10,0.10
Grant,97848,0,<10 (not shown),,,,,,,
Grant,97856,0,<10 (not shown),,,,,,,
Grant,97864,0,<10 (not shown),,,,,,,
Grant,97865,0,<10 (not shown),,,,,,,
Grant,97869,1,10 to 49 (#),0.71,0.10,0.14,0.10,0.43,0.36,0.10
Grant,97873,0,<10 (not shown),,,,,,,
Harney,97710,0,<10 (not shown),,,,,,,
Harney,97720,2,,0.78,0.51,0.10,0.10,0.37,0.24,0.24
Harney,97721,0,<10 (not shown),,,,,,,
Harney,97722,0,<10 (not shown),,,,,,,
Harney,97732,0,<10 (not shown),,,,,,,
Harney,97738,1,10 to 49 (#),0.88,0.71,0.12,0.12,0.65,0.47,0.47
Harney,97904,0,<10 (not shown),,,,,,,
Hood River,97014,1,10 to 49 (#),0.73,0.67,0.53,0.20,0.80,0.67,0.53
Hood River,97031,2,,0.87,0.74,0.70,0.30,0.64,0.40,0.38
Hood River,97041,1,10 to 49 (#),0.82,0.59,0.59,0.26,0.62,0.41,0.36
Hood River,97044,1,10 to 49 (#),0.92,0.92,0.75,0.25,0.92,0.83,0.83
Jackson,97501,2,,0.86,0.66,0.26,0.14,0.57,0.31,0.29
Jackson,97502,2,,0.85,0.64,0.23,0.16,0.52,0.28,0.26
Jackson,97503,2,,0.91,0.67,0.22,0.13,0.55,0.31,0.29
Jackson,97504,2,,0.88,0.68,0.31,0.18,0.57,0.33,0.30
Jackson,97520,2,,0.75,0.48,0.72,0.19,0.41,0.22,0.20
Jackson,97522,0,<10 (not shown),,,,,,,
Jackson,97524,2,,0.85,0.59,0.16,0.14,0.38,0.19,0.18
Jackson,97525,1,10 to 49 (#),0.90,0.62,0.19,0.10,0.45,0.33,0.31
Jackson,97530,1,10 to 49 (#),0.82,0.55,0.48,0.14,0.41,0.20,0.14
Jackson,97535,1,10 to 49 (#),0.83,0.57,0.29,0.11,0.46,0.29,0.26
Jackson,97536,0,<10 (not shown),,,,,,,
Jackson,97537,2,,0.84,0.54,0.16,0.10,0.47,0.23,0.21
Jackson,97539,1,10 to 49 (#),0.80,0.57,0.10,0.10,0.30,0.13,0.13
Jackson,97540,2,,0.85,0.56,0.44,0.20,0.51,0.32,0.31
Jackson,97541,1,10 to 49 (#),0.95,0.58,0.17,0.10,0.42,0.10,0.10
Jefferson,97711,0,<10 (not shown),,,,,,,
Jefferson,97734,1,10 to 49 (#),0.85,0.80,0.23,0.13,0.60,0.45,0.45
Jefferson,97741,2,,0.88,0.86,0.32,0.17,0.73,0.47,0.47
Jefferson,97760,2,,0.85,0.72,0.26,0.17,0.63,0.37,0.35
Jefferson,97761,2,,0.89,0.84,0.63,0.33,0.77,0.37,0.37
Josephine,97497,1,10 to 49 (#),0.73,0.64,0.18,0.10,0.45,0.18,0.18
Josephine,97523,2,,0.75,0.51,0.21,0.10,0.44,0.26,0.25
Josephine,97526,2,,0.83,0.61,0.22,0.15,0.46,0.28,0.26
Josephine,97527,2,,0.88,0.61,0.24,0.13,0.48,0.26,0.25
Josephine,97528,0,<10 (not shown),,,,,,,
Josephine,97531,0,<10 (not shown),,,,,,,
Josephine,97532,1,10 to 49 (#),0.71,0.43,0.10,0.10,0.36,0.10,0.10
Josephine,97533,0,<10 (not shown),,,,,,,
Josephine,97534,0,<10 (not shown),,,,,,,
Josephine,97538,1,10 to 49 (#),0.82,0.36,0.18,0.10,0.27,0.27,0.27
Josephine,97543,0,<10 (not shown),,,,,,,
Josephine,97544,0,<10 (not shown),,,,,,,
Klamath,97601,2,,0.82,0.74,0.23,0.19,0.72,0.43,0.41
Klamath,97602,0,<10 (not shown),,,,,,,
Klamath,97603,2,,0.88,0.77,0.18,0.18,0.67,0.41,0.38
Klamath,97621,0,<10 (not shown),,,,,,,
Klamath,97623,1,10 to 49 (#),0.93,0.74,0.10,0.15,0.59,0.30,0.26
Klamath,97624,1,10 to 49 (#),0.74,0.67,0.16,0.12,0.58,0.35,0.28
Klamath,97626,0,<10 (not shown),,,,,,,
Klamath,97627,1,10 to 49 (#),0.92,0.92,0.17,0.25,0.75,0.33,0.25
Klamath,97632,1,10 to 49 (#),0.90,0.75,0.10,0.20,0.75,0.45,0.45
Klamath,97633,1,10 to 49 (#),0.95,0.84,0.11,0.21,0.74,0.47,0.47
Klamath,97634,0,<10 (not shown),,,,,,,
Klamath,97639,0,<10 (not shown),,,,,,,
Klamath,97731,0,<10 (not shown),,,,,,,
Klamath,97733,0,<10 (not shown),,,,,,,
Klamath,97737,0,<10 (not shown),,,,,,,
Lake,97630,2,,0.74,0.52,0.13,0.10,0.50,0.19,0.17
Lake,97635,0,<10 (not shown),,,,,,,
Lake,97638,0,<10 (not shown),,,,,,,
Lake,97640,0,<10 (not shown),,,,,,,
Lake,97641,0,<10 (not shown),,,,,,,
Lake,97735,0,<10 (not shown),,,,,,,
Lane,97401,2,,0.85,0.77,0.65,0.31,0.67,0.38,0.37
Lane,97402,2,,0.85,0.76,0.44,0.24,0.67,0.36,0.34
Lane,97403,2,,0.84,0.73,0.71,0.35,0.71,0.44,0.40
Lane,97404,2,,0.87,0.75,0.59,0.27,0.67,0.37,0.36
Lane,97405,2,,0.82,0.73,0.75,0.40,0.65,0.38,0.36
Lane,97408,2,,0.83,0.73,0.57,0.31,0.63,0.38,0.35
Lane,97412,0,<10 (not shown),,,,,,,
Lane,97413,0,<10 (not shown),,,,,,,
Lane,97419,0,<10 (not shown),,,,,,,
Lane,97424,2,,0.77,0.62,0.34,0.21,0.55,0.26,0.25
Lane,97426,2,,0.83,0.67,0.31,0.20,0.55,0.22,0.22
Lane,97430,0,<10 (not shown),,,,,,,
Lane,97431,1,10 to 49 (#),0.67,0.56,0.17,0.11,0.61,0.28,0.22
Lane,97434,0,<10 (not shown),,,,,,,
Lane,97437,1,10 to 49 (#),0.89,0.81,0.26,0.22,0.56,0.26,0.26
Lane,97438,1,10 to 49 (#),0.63,0.42,0.32,0.32,0.32,0.26,0.26
Lane,97439,2,,0.80,0.57,0.28,0.10,0.56,0.24,0.18
Lane,97440,0,<10 (not shown),,,,,,,
Lane,97448,2,,0.84,0.68,0.31,0.22,0.54,0.27,0.27
Lane,97451,0,<10 (not shown),,,,,,,
Lane,97452,1,10 to 49 (#),0.86,0.71,0.38,0.10,0.62,0.24,0.19
Lane,97453,1,10 to 49 (#),0.60,0.40,0.20,0.10,0.50,0.20,0.10
Lane,97454,1,10 to 49 (#),0.95,0.95,0.17,0.17,0.92,0.33,0.33
Lane,97455,1,10 to 49 (#),0.89,0.73,0.38,0.30,0.57,0.24,0.24
Lane,97461,0,<10 (not shown),,,,,,,
Lane,97463,1,10 to 49 (#),0.86,0.69,0.10,0.10,0.58,0.19,0.19
Lane,97475,0,<10 (not shown),,,,,,,
Lane,97477,2,,0.86,0.76,0.41,0.27,0.65,0.31,0.30
Lane,97478,2,,0.87,0.77,0.37,0.26,0.63,0.28,0.27
Lane,97480,0,<10 (not shown),,,,,,,
